shoe,sh,oe
ship,sh,i,p
shark,sh,ar,k
chair,ch,air
cheese,ch,ee,se
chick,ch,i,ck
tie,t,ie
pie,p,ie
cried,cr,ie,d
moon,m,oo,n
spoon,sp,oo,n
goose,g,oo,se
stew,st,ew
few,f,ew
day,d,ay
play,pl,ay
tray,tr,ay
cow,c,ow
